iter	Logloss
0	0.6888154792
1	0.6839046187
2	0.6802513794
3	0.6758967152
4	0.6720967856
5	0.6697113981
6	0.6655631837
7	0.6613653595
8	0.6577301184
9	0.6551202373
10	0.6507661915
11	0.6471298637
12	0.6439886495
13	0.6400426327
14	0.6361502774
15	0.6324332473
16	0.6287266098
17	0.6244818264
18	0.6199498425
19	0.6157215137
20	0.6120866031
21	0.6102277963
22	0.6061056342
23	0.6023189365
24	0.5998999732
25	0.5955665511
26	0.591696332
27	0.5877471113
28	0.5845169458
29	0.5810075899
30	0.5777239025
31	0.5742891017
32	0.571771634
33	0.5685769905
34	0.5653904835
35	0.5623664838
36	0.559420386
37	0.5564621056
38	0.5540370593
39	0.5517920447
40	0.5487854713
41	0.5461035169
42	0.5434411814
43	0.540563024
44	0.5380386675
45	0.5352895367
46	0.5334511111
47	0.5312482989
48	0.528934611
49	0.5266364616
50	0.5242473259
51	0.5222128494
52	0.5196126822
53	0.516396522
54	0.514451732
55	0.5122257665
56	0.5093572743
57	0.5076138291
58	0.5056054731
59	0.5035174713
60	0.5011283761
61	0.4993504217
62	0.496982607
63	0.4946267848
64	0.4932379831
65	0.4912994853
66	0.4886312021
67	0.4868151483
68	0.4847868315
69	0.4827439047
70	0.4803611791
71	0.4792488389
72	0.4769111161
73	0.4752834717
74	0.47297661
75	0.4706807349
76	0.4689096575
77	0.4666904935
78	0.4643811907
79	0.4626336362
80	0.4604897344
81	0.4588981873
82	0.4570560914
83	0.4554304077
84	0.4535065035
85	0.4521320623
86	0.4507594234
87	0.4489039763
88	0.4471996047
89	0.4457283246
90	0.4438149921
91	0.4423303012
92	0.4403660648
93	0.4390049516
94	0.437493203
95	0.4364075975
96	0.4343845856
97	0.4330264355
98	0.4308434977
99	0.4294070115
100	0.4273946802
101	0.4260859869
102	0.4243756032
103	0.4227363944
104	0.4210655119
105	0.4196437999
106	0.4174571457
107	0.4165673231
108	0.4153481729
109	0.4138363548
110	0.4127583686
111	0.4113806013
112	0.4109666031
113	0.4100449897
114	0.4089432785
115	0.4071352826
116	0.4059397892
